time_s,x,y,heading_deg,avoidance_active
0.0,7.999053030303032,2.00091314935065,135.2319654512982,0
0.16666666666666666,7.9948593073593095,2.0050730519480524,135.2319654512982,0
0.3333333333333333,7.990665584415587,2.009232954545455,135.2319654512982,0
0.5,7.986471861471864,2.0133928571428577,135.2319654512982,0
0.6666666666666666,7.982278138528142,2.0175527597402603,135.2319654512982,0
0.8333333333333333,7.978084415584419,2.021712662337663,135.2319654512982,0
0.9999999999999999,7.973890692640697,2.0258725649350655,135.2319654512982,0
1.1666666666666665,7.969696969696974,2.030032467532468,135.23196545129824,0
1.3333333333333333,7.965503246753252,2.0341923701298708,135.2319654512982,0
1.5,7.961309523809529,2.0383522727272734,135.23196545129824,0
1.6666666666666667,7.9571158008658065,2.042512175324676,135.23196545129824,0
1.8333333333333335,7.952922077922084,2.0466720779220786,135.23196545129824,0
2.0,7.948728354978361,2.0508319805194812,135.23196545129824,0
2.1666666666666665,7.944534632034639,2.054991883116884,135.23196545129824,0
2.333333333333333,7.940340909090916,2.0591517857142865,135.23196545129824,0
2.4999999999999996,7.936147186147194,2.063311688311689,135.23196545129824,0
2.666666666666666,7.931953463203471,2.0674715909090917,135.23196545129824,0
2.8333333333333326,7.927759740259749,2.0716314935064943,135.23196545129824,0
2.999999999999999,7.923566017316026,2.075791396103897,135.23196545129824,0
3.1666666666666656,7.9193722943723035,2.0799512987012996,135.23196545129824,0
3.333333333333332,7.915178571428581,2.084111201298702,135.23196545129824,0
3.4999999999999987,7.910984848484858,2.088271103896105,135.23196545129827,0
3.666666666666665,7.906791125541136,2.0924310064935074,135.23196545129827,0
3.8333333333333317,7.902597402597413,2.09659090909091,135.23196545129827,0
3.9999999999999982,7.898403679653691,2.1007508116883127,135.23196545129827,0
4.166666666666665,7.894209956709968,2.1049107142857153,135.23196545129827,0
4.333333333333332,7.890016233766246,2.109070616883118,135.23196545129827,0
4.499999999999999,7.885822510822523,2.1132305194805205,135.23196545129827,0
4.666666666666666,7.8816287878788005,2.117390422077923,135.23196545129827,0
4.833333333333333,7.877435064935078,2.121550324675326,135.23196545129827,0
5.0,7.873241341991355,2.1257102272727284,135.23196545129827,0
5.166666666666667,7.869047619047633,2.129870129870131,135.23196545129827,0
5.333333333333334,7.86485389610391,2.1340300324675336,135.23196545129827,0
